Iteration,Duration,p,q
1,0.5472491669970623,29980994532139703281126408132246630139000675188664061515471901225797567007127574161358350857505298749880620650381385963268703756918740230105257568300617402397644215128078021992305622107746331397258387844278843916482462721043861797005511445500915712039588339662652159328379994445008358526141320935461548417374904891618745796176967784536992952221155834366994789704281483982342991301114253749762906276340769803938735828986006260615987665555039035559656739510490673508340671928880533748484442854399698529644775349898913000849357665692420569684814252508652728464739428450468034731601601800422795494266477917177361347092099,14990497266069851640563204066123315069500337594332030757735950612898783503563787080679175428752649374940310325190692981634351878459370115052628784150308701198822107564039010996152811053873165698629193922139421958241231360521930898502755722750457856019794169831326079664189997222504179263070660467730774208687452445809372898088483892268496476110577917183497394852140741991171495650557126874881453138170384901969367914493003130307993832777519517779828369755245336754170335964440266874242221427199849264822387674949456500424678832846210284842407126254326364232369714225234017365800800900211397747133238958588680673546049
2,0.5308792789983272,22823422605034828000633879785905130185977046044251000273550232154498192902012314543147168388293814406032220258256787269368108499027114385470026027362366238861360122829547010630379169093590535935325580669150583348409122604716072668874015804968004945171723818495514447344624991812540526117073322627610884584056423450877965960380699293463580237009626765879945630691507014411515223461498352628854248581424862879217001266922164578766013777474946985868450874844134208168402837197258435342998087665928354419150103162002736293305073461058670947925622371354232914007310448460364058264030473318129871026093557864300772017581859,11411711302517414000316939892952565092988523022125500136775116077249096451006157271573584194146907203016110129128393634684054249513557192735013013681183119430680061414773505315189584546795267967662790334575291674204561302358036334437007902484002472585861909247757223672312495906270263058536661313805442292028211725438982980190349646731790118504813382939972815345753507205757611730749176314427124290712431439608500633461082289383006888737473492934225437422067104084201418598629217671499043832964177209575051581001368146652536730529335473962811185677116457003655224230182029132015236659064935513046778932150386008790929
3,0.5435475800004497,30415904809510410630543930865406407522977843631268517742306705885046420342091778649401032840114788603219250766534198463068798531615189558792889320390145543177647532083537790812786468743362044008205260626101694399608032149497516312802976085593715331370410128433890545112493487374594756063934781771138927709836036376469198826352702070761354291478636776091652732149953987601131934823353106837166621508645893250254969192596596715492211162568923597602676448706959624451065738590013223977003282990960912367776168980749741360529620443235771481557042685401845053520841671837470746554327493521395722583263593487872173527269059,15207952404755205315271965432703203761488921815634258871153352942523210171045889324700516420057394301609625383267099231534399265807594779396444660195072771588823766041768895406393234371681022004102630313050847199804016074748758156401488042796857665685205064216945272556246743687297378031967390885569463854918018188234599413176351035380677145739318388045826366074976993800565967411676553418583310754322946625127484596298298357746105581284461798801338224353479812225532869295006611988501641495480456183888084490374870680264810221617885740778521342700922526760420835918735373277163746760697861291631796743936086763634529
4,0.5294145309999294,31839231971817707157583033919197677146547237050570327129930528043462789877817731137717508660633760276843708158397391583803543051565995611997526836644573493706364302843685733786915025555744319997426009135578148484358426502535715820850504652527088708184887663593268000661435630471113043330130166137919052473784058021993227023878628504196892032274577191578587505420804615225112957147994475932775719056111828827062122620591295929196755339680230387340787163642591570855888374471270553005478975853030702922870361642177230570835909395463329490495339828244556034452340480106533806152053335698202147717237194796367549913928347,15919615985908853578791516959598838573273618525285163564965264021731394938908865568858754330316880138421854079198695791901771525782997805998763418322286746853182151421842866893457512777872159998713004567789074242179213251267857910425252326263544354092443831796634000330717815235556521665065083068959526236892029010996613511939314252098446016137288595789293752710402307612556478573997237966387859528055914413531061310295647964598377669840115193670393581821295785427944187235635276502739487926515351461435180821088615285417954697731664745247669914122278017226170240053266903076026667849101073858618597398183774956964173
5,0.5410190660004446,30341825632432958762250066573068715270887121575055355378105688152939760340980554522884845057396744149191570091854384410701808468040413407174267860950878733086773186459160909234272384273250996769351858036426628650136502375191190848860035673478075242359703123485186449544931312978682485085231031305500234450475970894157689361176333960309058811043582366948386181805072875424237602163627987604891605016254161507042713812143314378785107605648750340427397938571399242875097184511104937903149292223395166500201597003307895331078072442600434013466725264212221901941581188033109557675219096717947513365017692488817721743058919,15170912816216479381125033286534357635443560787527677689052844076469880170490277261442422528698372074595785045927192205350904234020206703587133930475439366543386593229580454617136192136625498384675929018213314325068251187595595424430017836739037621179851561742593224772465656489341242542615515652750117225237985447078844680588166980154529405521791183474193090902536437712118801081813993802445802508127080753521356906071657189392553802824375170213698969285699621437548592255552468951574646111697583250100798501653947665539036221300217006733362632106110950970790594016554778837609548358973756682508846244408860871529459
6,0.5358302579988958,28311630802573643333081624891745183496380429990192521034389652507621319806894623770145532484632933274302338788247239460812347289218944978138315989462906442216257020118766085571920969881126093511076385891514805990847342954048755038772328126864463445545466694208511338506533933708204300417407742455464430455971015511266460806200469458500066477148402482597281155780986364625856097046781584605518219019771646212712226733761159041367522859672327837524118050312378059606769060658774674097407019550111292960513300475665360825577699926775096670876587610168188665892684744365492785075647190676522428507347109611817700043240383,14155815401286821666540812445872591748190214995096260517194826253810659903447311885072766242316466637151169394123619730406173644609472489069157994731453221108128510059383042785960484940563046755538192945757402995423671477024377519386164063432231722772733347104255669253266966854102150208703871227732215227985507755633230403100234729250033238574201241298640577890493182312928048523390792302759109509885823106356113366880579520683761429836163918762059025156189029803384530329387337048703509775055646480256650237832680412788849963387548335438293805084094332946342372182746392537823595338261214253673554805908850021620191
7,0.5418111510007293,30867185009358896259955618112536536606163729725051005640772143391258000532638369920331813458808794795675027135167190438721307386366453233239081982958071918205846111020469465481120423323698432751568689517185722585340850650837610286474853574519286631616766009995582324639687050187934267905462920993814211109462423488797186410616534191760294000477884858277763843719484235568807433021699595887977302346141605966096440570865870190873430080259731080665099450026299312677482446620574213859700486254047257151544532674206048871063183211468004586246605639809448715658228042874140094225512560388435918977491118457589243620322547,15433592504679448129977809056268268303081864862525502820386071695629000266319184960165906729404397397837513567583595219360653693183226616619540991479035959102923055510234732740560211661849216375784344758592861292670425325418805143237426787259643315808383004997791162319843525093967133952731460496907105554731211744398593205308267095880147000238942429138881921859742117784403716510849797943988651173070802983048220285432935095436715040129865540332549725013149656338741223310287106929850243127023628575772266337103024435531591605734002293123302819904724357829114021437070047112756280194217959488745559228794621810161273
8,0.5582274879998295,21100969036005183197169495778891562850427080202080595689964033066267833422792700547948008994028911548051706127472351713113191769508585632694769727595741535254273120196023143583686764355905560651969197784749166864463584026801921118118057354919711878303702110583045493693945768638737304169088328091354215292261895457458905079388480683271862563786325814512192461676946524512052130713285125674052012231513242253540919024212138162549852945438661015057587485415538687012549701372734087160483193602699467677211575464546142053038561463371426834427906755275211004538881521661824426419101155944317512704890120437770454663302787,10550484518002591598584747889445781425213540101040297844982016533133916711396350273974004497014455774025853063736175856556595884754292816347384863797870767627136560098011571791843382177952780325984598892374583432231792013400960559059028677459855939151851055291522746846972884319368652084544164045677107646130947728729452539694240341635931281893162907256096230838473262256026065356642562837026006115756621126770459512106069081274926472719330507528793742707769343506274850686367043580241596801349733838605787732273071026519280731685713417213953377637605502269440760830912213209550577972158756352445060218885227331651393
9,0.5565730630005419,18795418859959278755853538080869436299587251600213441596034834049687483200351390717839606880068393653125700476938052782623809968804228286416809316189264229314741048428207276665103917100955754765876446358436062937539108100096100938476481968307492248175408324099001077652558342713153417910838865455204683457715015747288943625739696721106292862288661515497474728138654734084788915275284403381078123075876306950630682515963610222829326642115163914096745211160168079434169814282885232985458976158494009255430853078164814816749231708877257472988895437560634904022961730789728698187559776348597162896894470032243727386872747,9397709429979639377926769040434718149793625800106720798017417024843741600175695358919803440034196826562850238469026391311904984402114143208404658094632114657370524214103638332551958550477877382938223179218031468769554050048050469238240984153746124087704162049500538826279171356576708955419432727602341728857507873644471812869848360553146431144330757748737364069327367042394457637642201690539061537938153475315341257981805111414663321057581957048372605580084039717084907141442616492729488079247004627715426539082407408374615854438628736494447718780317452011480865394864349093779888174298581448447235016121863693436373
10,0.5504714970011264,31573102493580386811313414215514568021434812338507222442658329231830345878941993525507959890528785990524574025567296715236077056636758093761315171419261651865973974226973856396461165083138607163504873265766932108972276674624750177887130511414296259977731625073592489752741324158676839904240499562144892389446068310044027373906628511228081880783872414592929726838981714661768134951211719168090808141546352703535510113820282854164705351466863494943334132571279983430769646354226409693400107094897452821492224658377607365152112119068774890296605071126252684370014428901387789548428411114093525989721536607666819092407827,15786551246790193405656707107757284010717406169253611221329164615915172939470996762753979945264392995262287012783648357618038528318379046880657585709630825932986987113486928198230582541569303581752436632883466054486138337312375088943565255707148129988865812536796244876370662079338419952120249781072446194723034155022013686953314255614040940391936207296464863419490857330884067475605859584045404070773176351767755056910141427082352675733431747471667066285639991715384823177113204846700053547448726410746112329188803682576056059534387445148302535563126342185007214450693894774214205557046762994860768303833409546203913
